state,donor_rate
Johor,1.088090539480254
Kedah,0.934245960502693
Kelantan,0.9955443728049483
Melaka,2.7921140142517813
Negeri Sembilan,1.3446890567250522
Pahang,1.442021213204624
Perak,1.8039147151345685
Pulau Pinang,2.386458160039927
Sabah,1.071230982019364
Sarawak,1.6547157878093128
Selangor,0.43407409407571423
Terengganu,1.6656508140187665
W.P. Kuala Lumpur,9.973289619594041
